num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_7;Está em cics8
59;cics_4;habilita;860500;CFI; 10 ;;;;Vagões de passageiros (carruagens*), furgões para bagagem, vagões-postais e outros vagões especiais, para vias férreas ou semelhantes (excluindo as viaturas da posição 86.04).;Sistemas Metroferroviários;0;0;2;2
60;cics_4;habilita;900110;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
61;cics_4;habilita;8501101;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;TICs;0;0;2;2
62;cics_4;habilita;8532211;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Condensadores elétricos, fixos, variáveis ou ajustáveis.;TICs;0;0;2;2
63;cics_4;habilita;8537101;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
64;cics_4;habilita;24049200;MedNac; 5 ;MedIFANac; 10 ;;"Produtos que contenham tabaco, tabaco reconstituído, nicotina ou sucedâneos do tabaco ou da nicotina, destinados à inalação sem combustão; outros produtos que contenham nicotina destinados à absorção da nicotina pelo corpo humano.";Medicamentos;0;0;2;2
65;cics_4;habilita;25010090;MedNac; 5 ;MedIFANac; 10 ;;"Sal (incluindo o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes ou de agentes que assegurem uma boa fluidez; água do mar.";Medicamentos;0;0;2;2
66;cics_4;habilita;29362113;MedNac; 5 ;MedIFANac; 10 ;;Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluindo os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções.;Medicamentos;0;0;2;2
67;cics_4;habilita;29362931;MedNac; 5 ;MedIFANac; 10 ;;Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluindo os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções.;Medicamentos;0;0;2;2
68;cics_4;habilita;30021211;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
69;cics_4;habilita;30021212;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
70;cics_4;habilita;30021215;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
71;cics_4;habilita;30021219;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
72;cics_4;habilita;30021239;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
73;cics_4;habilita;30024121;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
74;cics_4;habilita;30024122;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
75;cics_4;habilita;30024123;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
76;cics_4;habilita;30024125;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
77;cics_4;habilita;30024126;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
78;cics_4;habilita;30024127;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
79;cics_4;habilita;30024129;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
80;cics_4;habilita;30024210;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
81;cics_4;habilita;30024992;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
