num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_4;Está em cics_7
12;cics_8;habilita;87079090;CFI;10;;;;Carroçarias para os veículos automóveis das posições 87.01 a 87.05, incluindo as cabinas.;Ônibus;1;1;1;2
13;cics_8;habilita;87060010;CFI;10;;;;Chassis com motor para os veículos automóveis das posições 87.01 a 87.05.;Ônibus;1;1;1;2
14;cics_8;habilita;87060090;CFI;10;;;;Chassis com motor para os veículos automóveis das posições 87.01 a 87.05.;Ônibus;1;1;1;2
15;cics_8;habilita;90328930;CFI;10;;;;Instrumentos e aparelhos para regulação ou controle, automáticos.;Sistemas Metroferroviários;1;1;1;2
16;cics_8;habilita;8429;CFI;10;;;;Bulldozers, angledozers, niveladores, raspo-transportadores (scrapers), pás mecânicas, escavadores, carregadores e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsados.;Linha Amarela;0;0;1;2
17;cics_8;habilita;8430;CFI;10;;;;"Outras máquinas e aparelhos de terraplenagem, nivelamento, raspagem, escavação, compactação, extração ou perfuração da terra, de minerais ou minérios; bate-estacas e arranca-estacas; limpa-neves.";Linha Amarela;0;0;1;2
18;cics_8;habilita;847910;CFI;10;;;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;TICs;0;0;1;2
19;cics_8;habilita;847982;CFI;10;;;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;TICs;0;0;1;2
20;cics_8;habilita;85013120;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
21;cics_8;habilita;85013220;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
22;cics_8;habilita;85013320;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
23;cics_8;habilita;85013420;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
24;cics_8;habilita;85017;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;0;1;2
25;cics_8;habilita;85018000;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
26;cics_8;habilita;85044090;CFI;10;;;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;Sistemas Fotovoltaicos;0;1;2;2
27;cics_8;habilita;85354090;CFI;10;;;;Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, supressores de picos de tensão (eliminadores de onda), tomadas de corrente e outros conectores, caixas de junção), para uma tensão superior a 1.000 V.;Sistemas Fotovoltaicos;0;1;2;2
28;cics_8;habilita;85363090;CFI;10;;;;"Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, relés, corta-circuitos, supressores de picos de tensão (eliminadores de onda), plugues (fichas*) e tomadas de corrente, suportes para lâmpadas e outros conectores, caixas de junção), para uma tensão não superior a 1.000 V; conectores para fibras ópticas, feixes ou cabos de fibras ópticas.";Sistemas Fotovoltaicos;0;1;2;2
29;cics_8;habilita;85371090;CFI;10;;;Aparece duas vezes, uma utilizando CFI como regra de origem para margem normal, outra utilizando CFI ou PPB e inclui margem adicional.;Quadros, painéis, consoles, cabinas, armários e outros suportes com dois ou mais aparelhos das posições 85.35 ou 85.36, para comando elétrico ou distribuição de energia elétrica, incluindo os que incorporem instrumentos ou aparelhos do Capítulo 90, bem como os aparelhos de comando numérico, exceto os aparelhos de comutação da posição 85.17.;Sistemas Fotovoltaicos;0;1;3;4
